Date,Open,High,Low,Close,Adj Close,Volume
12/22/1998,23.203125,23.28125,23.203125,23.28125,15.47609,600
12/23/1998,23.453125,23.75,23.453125,23.6875,15.746149,900
12/24/1998,23.90625,24.015625,23.828125,24,15.953875,1400
12/28/1998,24,24.140625,24,24.125,16.036964,7400
12/29/1998,24.25,24.46875,24.25,24.46875,16.26548,1400
12/30/1998,24.453125,24.453125,24.296875,24.359375,16.192766,2800
12/31/1998,24.359375,24.5625,24.3125,24.5625,16.327799,33100
1/4/1999,24.59375,24.84375,24.21875,24.21875,16.099293,6400
1/5/1999,24.46875,24.765625,24.359375,24.71875,16.431665,2000
1/6/1999,24.953125,25.328125,24.953125,25.25,16.784811,13500
1/7/1999,25.0625,25.125,24.84375,25.03125,16.639397,13100
1/8/1999,24.96875,25.25,24.828125,25.21875,16.764034,11000
1/11/1999,25.15625,25.15625,24.875,24.984375,16.608234,2200
1/12/1999,24.859375,24.921875,24.609375,24.6875,16.410887,6500
1/13/1999,24.03125,24.359375,24,24.0625,15.995424,1700
1/14/1999,24,24.21875,23.953125,23.953125,15.922716,4100
1/15/1999,24.078125,24.421875,24.078125,24.359375,16.192766,4900
1/19/1999,24.578125,24.578125,24.109375,24.3125,16.16161,10100
1/20/1999,24.375,24.5,24.203125,24.203125,16.088909,1700
1/21/1999,24.140625,24.140625,23.984375,24,15.953875,2500
1/22/1999,23.65625,23.75,23.53125,23.53125,15.642273,8700
1/25/1999,23.640625,23.921875,23.609375,23.921875,15.901945,4600
1/26/1999,23.921875,23.921875,23.921875,23.921875,15.901945,0
1/27/1999,24.203125,24.203125,24.109375,24.109375,16.026585,500
1/28/1999,24.03125,24.1875,23.953125,24.140625,16.047359,1900
1/29/1999,24.234375,24.40625,23.953125,24.296875,16.151218,109200
2/1/1999,24.5,24.5,24.328125,24.328125,16.171993,2400
2/2/1999,24.15625,24.1875,23.859375,24.140625,16.047359,20700
2/3/1999,24.140625,24.375,24.140625,24.375,16.203157,20100
2/4/1999,24.34375,24.421875,24.25,24.40625,16.223927,6100
2/5/1999,24.484375,24.484375,24.296875,24.328125,16.171993,4300
2/8/1999,24.5,24.5,24.140625,24.40625,16.223927,2900
2/9/1999,24.359375,24.359375,24.078125,24.078125,16.005814,4100
2/10/1999,24.171875,24.171875,24.046875,24.171875,16.068134,5400
2/11/1999,24.328125,24.5,24.328125,24.5,16.286247,3500
2/12/1999,24.390625,24.390625,24.3125,24.359375,16.192766,2600
2/16/1999,24.515625,24.53125,24.46875,24.484375,16.275864,3800
2/17/1999,24.28125,24.75,24.28125,24.484375,16.275864,5400
2/18/1999,24.328125,24.53125,24.265625,24.484375,16.275864,4300
2/19/1999,24.375,24.671875,24.375,24.640625,16.379725,2800
2/22/1999,24.65625,25.015625,24.65625,25.015625,16.629009,6400
2/23/1999,24.9375,25.046875,24.859375,25,16.61862,5400
2/24/1999,25.15625,25.171875,24.875,24.9375,16.577078,5300
2/25/1999,24.578125,24.578125,24.28125,24.4375,16.244699,3200
2/26/1999,24.5625,24.65625,24.375,24.515625,16.296637,3400
3/1/1999,24.46875,24.5,24.3125,24.5,16.286247,3200
3/2/1999,24.5625,24.609375,24.296875,24.296875,16.151218,47600
3/3/1999,24.484375,24.484375,24.109375,24.15625,16.057743,13600
